,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,High,Low,Open,Close,Volume,Adj Close
0,0,0,0,0,0,0,0,2014-12-31,106.11000061035156,104.54000091552734,105.61000061035156,104.56999969482422,6202100.0,91.78704071044922
1,1,1,1,1,1,1,1,2015-01-02,105.5500030517578,104.12999725341795,105.0500030517578,104.5199966430664,5753600.0,91.74313354492188
2,2,2,2,2,2,2,2,2015-01-05,104.7300033569336,103.68000030517578,104.4800033569336,103.79000091552734,8079300.0,91.10238647460938
3,3,3,3,3,3,3,3,2015-01-06,104.98999786376952,102.94000244140624,104.33999633789062,103.27999877929688,7428000.0,90.65472412109376
4,4,4,4,4,4,4,4,2015-01-07,105.83000183105469,103.80999755859376,103.91000366210938,105.55999755859376,7931700.0,92.65602111816406
5,5,5,5,5,5,5,5,2015-01-08,106.48999786376952,105.75,106.05999755859376,106.38999938964844,9916000.0,93.38455963134766
6,6,6,6,6,6,6,6,2015-01-09,106.5,104.75,106.5,104.94000244140624,7364800.0,92.11181640625
7,7,7,7,7,7,7,7,2015-01-12,105.81999969482422,104.3000030517578,105.16999816894531,104.58000183105469,6839000.0,91.79582977294922
8,8,8,8,8,8,8,8,2015-01-13,106.33000183105469,104.23999786376952,105.44000244140624,104.76000213623048,10151100.0,91.95382690429688
9,9,9,9,9,9,9,9,2015-01-14,104.43000030517578,103.51000213623048,103.86000061035156,104.0,8887700.0,91.2867202758789
10,10,10,10,10,10,10,10,2015-01-15,103.93000030517578,101.9499969482422,102.97000122070312,102.48999786376952,10834800.0,89.96131134033203
11,11,11,11,11,11,11,11,2015-01-16,104.62000274658205,102.0,102.05999755859376,104.04000091552734,14092300.0,91.32184600830078
12,12,12,12,12,12,12,12,2015-01-20,102.0500030517578,100.26000213623048,101.5500030517578,101.29000091552734,20460000.0,88.90798950195312
13,13,13,13,13,13,13,13,2015-01-21,102.0999984741211,100.4000015258789,100.55999755859376,101.9000015258789,11702900.0,89.44341278076172
14,14,14,14,14,14,14,14,2015-01-22,103.83000183105469,101.56999969482422,102.38999938964844,103.76000213623048,9036600.0,91.0760726928711
15,15,15,15,15,15,15,15,2015-01-23,102.97000122070312,101.94000244140624,102.94000244140624,102.1999969482422,10126000.0,89.70674896240234
16,16,16,16,16,16,16,16,2015-01-26,102.4499969482422,101.20999908447266,101.8000030517578,102.26000213623048,8962800.0,89.7594223022461
17,17,17,17,17,17,17,17,2015-01-27,102.7699966430664,100.93000030517578,101.83000183105469,102.08999633789062,10160500.0,89.61019134521484
18,18,18,18,18,18,18,18,2015-01-28,102.93000030517578,101.44000244140624,102.4800033569336,101.4800033569336,9053200.0,89.07477569580078
19,19,19,19,19,19,19,19,2015-01-29,102.45999908447266,100.66999816894531,101.51000213623048,102.37999725341795,7569300.0,89.86475372314453
20,20,20,20,20,20,20,20,2015-01-30,102.0,100.08999633789062,101.58000183105469,100.13999938964844,10676300.0,87.89857482910156
21,21,21,21,21,21,21,21,2015-02-02,100.8499984741211,99.37999725341795,100.48999786376952,100.83000183105469,8990700.0,88.50424194335938
22,22,22,22,22,22,22,22,2015-02-03,102.55999755859376,101.12000274658205,101.4000015258789,102.45999908447266,10005200.0,89.9349594116211
23,23,23,23,23,23,23,23,2015-02-04,102.4499969482422,101.0199966430664,102.12000274658205,101.36000061035156,9514100.0,88.96943664550781
24,24,24,24,24,24,24,24,2015-02-05,102.55999755859376,101.45999908447266,101.56999969482422,102.45999908447266,6642200.0,89.9349594116211
25,25,25,25,25,25,25,25,2015-02-06,102.4499969482422,100.83000183105469,102.11000061035156,101.0999984741211,9215700.0,88.7412338256836
26,26,26,26,26,26,26,26,2015-02-09,101.05999755859376,99.0999984741211,101.05999755859376,99.77999877929688,9851700.0,87.58258056640625
27,27,27,27,27,27,27,27,2015-02-10,100.6999969482422,99.43000030517578,100.19000244140624,100.3499984741211,12275500.0,88.08291625976562
28,28,28,28,28,28,28,28,2015-02-11,100.79000091552734,99.9499969482422,100.45999908447266,100.37999725341795,8177000.0,88.1092300415039
29,29,29,29,29,29,29,29,2015-02-12,100.54000091552734,97.1500015258789,100.5,98.44000244140624,25835200.0,86.40638732910156
30,30,30,30,30,30,30,30,2015-02-13,99.66999816894531,98.33000183105469,98.44000244140624,99.62000274658205,11153600.0,87.442138671875
31,31,31,31,31,31,31,31,2015-02-17,100.4800033569336,99.12000274658205,99.38999938964844,100.44000244140624,8627100.0,88.16190338134766
32,32,32,32,32,32,32,32,2015-02-18,100.94000244140624,99.37999725341795,100.6999969482422,99.95999908447266,7878200.0,87.74056243896484
33,33,33,33,33,33,33,33,2015-02-19,100.83999633789062,99.61000061035156,99.9499969482422,100.6999969482422,10028200.0,88.39012908935547
34,34,34,34,34,34,34,34,2015-02-20,100.37000274658205,99.11000061035156,100.18000030517578,100.26000213623048,10085700.0,88.61994171142578
